rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
511,NO,,2,2015,Improved Mathematics Learning by Modular Technology in Technical Education,https://doi.org/10.1109/t4e.2015.19,G. Vasanti; V. Vinod Kumar,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
512,NO,,2,2021,INTERPRETING STUDENT RESPONSES USING SENTIMENT ANALYSIS AND TEXT-ANALYTICS,https://doi.org/10.24908/pceea.vi0.14866,Madison Mindorff; Brendan Lobo; Chirag Variawa,Proceedings of the Canadian Engineering Education Association (CEEA),Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
513,NO,,2,2020,Delivering Engineering Education Research Findings To The Practitioners: A New Workshop Model Approach,https://doi.org/10.18260/1-2--15807,Cindy Waters; Helen Chen; Sheri Sheppard,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
514,NO,,2,2023,"The Use of Extended Reality (XR), Wearable, and Haptic Technologies for Learning Across Engineering Disciplines",https://doi.org/10.4324/9781003287483-28,Diana Bairaktarova; Andrew Valentine; Rami Ghannam,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
515,NO,,2,2022,Developing synchronous and asynchronous online learning models for engineering college students in India: A grounded theory approach,https://doi.org/10.16920/jeet/2022/v35i3/22089,Komal Chopra; Jaya Chitranshi,Journal of Engineering Education/Journal of engineering education transformations/Journal of engineering education transformation,Engineering-education venue (engineering-ed confusable).,openalex
516,NO,,2,2024,Research Trends in Technology-Enhanced Language Learning: A Bibliometric Analysis,https://doi.org/10.37249/jlllt.v3i2.779,Awal Kurnia Putra Nasution; Muhammad Hasyimsyah Batubara,Journal of Linguistics Literature and Language Teaching (JLLLT),No LE-discipline signals found.,openalex|semanticscholar
517,NO,,2,2021,An Android Application for Explaining Form Deviations Using 3D Models,https://doi.org/10.1007/978-3-030-77719-7_31,Grigore Marian Pop; Radu Comes; Liviu Adrian Crisan,Lecture notes in mechanical engineering,Engineering-education venue (engineering-ed confusable).,openalex
518,NO,,2,2023,"History, Status, and Development of AI-Based Learning Science",https://doi.org/10.1007/s42979-023-01778-1,Cuiyu Wang; Jiaye Cai; Chang-Lei Gao,SN Computer Science,No abstract and no LE signals in title/venue/authors.,openalex|semanticscholar
519,NO,,2,2024,Can AI be Helpful for Teaching Engineering Subjects?,https://doi.org/10.1109/icelie62250.2024.10814788,Ahmad Hemami,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
520,NO,,2,2019,Do Real Life Visuals Help Students to Learn Engineering,https://doi.org/10.1109/igbsg.2019.8886213,Aaron Liu; Ghavameddin Nourbakhsh; Negareh Ghasemi,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
521,NO,,2,2016,JAVA based Virtual Lab for Embedded Processor Design,https://doi.org/10.17485/ijst/2016/v9i48/97653,M. K. Srilekha; P. Ponnammal; R Bhakkiyalakshmi,Indian Journal of Science and Technology,Srilekha Java virtual lab for embedded processor — EngEd lab.,openalex|semanticscholar
522,NO,,2,2017,Vicarious Learning in PBL Variants for Learning Electronics.,,Martin Podges; Piet Kommers,Journals & Books Hosting (International Knowledge Sharing Platform),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
523,NO,,2,2019,THE ROLE OF MAKERSPACES IN INCLUSIVITY IN ENGINEERING,https://doi.org/10.24908/pceea.vi0.13749,Justine Boudreau Boudreau; Hanan Anis,Proceedings of the Canadian Engineering Education Association (CEEA),Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
524,NO,,2,2024,Enhancing Integrated STEM Education through Underwater Robotics Competitions: A Project-based Learning Approach Incorporating Engineering Design Processes and Bloom's Taxonomy,https://doi.org/10.1109/educon60312.2024.10578695,Tak-Sang Yim; Chun Yin Leung; Kam Tim Woo,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
525,NO,,2,2001,Collaboration Effects on Distributed Student Team Performance,https://doi.org/10.1177/154193120104500903,Megan E. Reichert; A. Williams; Craig Harvey,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,Reichert distributed-team performance in distance engineering course — EngEd.,openalex|semanticscholar
526,NO,,2,2014,Experiences at the open university of catalonia with the virtualization of live collaborative learning in support for engineering education,,Santi Caballé; David Gañán; Márius Gómez,O2 - Repositori Institucional (Universitat Oberta de Catalunya),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
527,NO,,2,2021,Fields Where the Internet of Things is Used in Education and Effects on These Fields,https://doi.org/10.5961/jhes.2021.462,Abdulkerim Aydın,Journal of Higher Education and Science,"Aydın IoT-in-education review — EdTech review, not LE.",openalex|semanticscholar
528,NO,,2,2022,Autonomous Ferries and Cargo Ships: Discovering Ethical Issues via a Challenge-Based Learning Approach in Higher Education,https://doi.org/10.1109/istas55053.2022.10227124,Christian Herzog; Noah-Art Leinweber; Stefanie A. Engelhard,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
529,NO,,2,2024,"Between world models and model worlds: on generality, agency, and worlding in machine learning",https://doi.org/10.1007/s00146-024-02086-9,Konstantin Mitrokhov,AI & Society,"Mitrokhov 'model worlds' in ML research — cultural/media studies of MLOps, not LE.",openalex|semanticscholar
530,YES,,2,2022,Third Annual Workshop on A/B Testing and Platform-Enabled Learning Research,https://doi.org/10.1145/3491140.3528288,STEVE RITTER; Neil T. Heffernan; Joseph Jay Williams,,Ritter/Heffernan/Williams 3rd A/B Testing workshop 'Learning engineering adds tools and processes to learning platforms'.,openalex|semanticscholar
531,NO,,2,2023,Pareto Rank-Preserving Supernetwork for Hardware-Aware Neural Architecture Search,https://doi.org/10.3233/faia230276,Hadjer Benmeziane; Kaoutar El Maghraoui; Hamza Ouarnoughi,Frontiers in artificial intelligence and applications,"Pareto-rank NAS for HW-aware neural architecture — MLOps/NAS, not LE discipline.",openalex
532,NO,,2,2013,PENGGUNAAN MODEL GROUP INVESTIGATION DENGAN STRATEGI INQUIRI DALAM PENINGKATAN PEMBELAJARAN IPA KELAS V SD,,Budi Setiyono,KALAM CENDEKIA PGSD KEBUMEN,Setiyono Indonesian group-investigation civics study — 'engineering research' is mistranslation.,openalex|semanticscholar
533,YES,,2,2017,THE FUTURE OF TECHNOLOGY-SUPPORTED EDUCATION: IMPROVING EFFICIENCY AND EFFECTIVENESS THROUGH LEARNING ENGINEERING,https://doi.org/10.21125/iceri.2017.2017,Henry Leitner,ICERI proceedings,Leitner 'The Future of Technology-Supported Education: Improving... Through Learning Engineering'.,openalex|semanticscholar
534,NO,,2,2024,You Only Look Once Version 5 and Deep Simple Online and Real-Time Tracking Algorithms for Real-Time Customer Behavior Tracking and Retail Optimization,https://doi.org/10.3390/a17110525,Mohamed Shili; Osama Sohaib; Salah Hammedi,Algorithms,No LE-discipline signals found.,openalex|semanticscholar
535,NO,,2,2023,Contextualizing and Integrating Practices: Reclaiming Authenticity Lost from Translating Workplace Engineering Practices into K-12 Standards,https://doi.org/10.7771/2157-9288.1333,Anne E. Leak; Lindsay M. Owens; Kelly Norris Martin,Journal of Pre-College Engineering Education Research (J-PEER),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
536,NO,,2,2020,Active Learning: A Range Of Options For Engineering Faculty In The Arab Gulf States,https://doi.org/10.18260/1-2--14728,Waddah Akili,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
537,NO,,2,2024,Feasibility of Engineering Mechanics E-Modules Developed Using the Four-D Model,https://doi.org/10.29303/jppipa.v10i7.7692,Erma Yulia; Benyamin Situmorang; Binsar M Pakpahan,Jurnal Penelitian Pendidikan IPA,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
538,NO,,2,2025,A Novel Binary Swordfish Movement Optimization Algorithm (BSMOA) for Efficient Feature Selection,https://doi.org/10.54216/fpa.190213,El El-Sayed; Amel Ali Alhussan; Doaa Sami Khafaga,Fusion Practice and Applications,No LE-discipline signals found.,openalex|semanticscholar
539,NO,,2,2015,Development of an Online Engineering Drawing Systemto Enhance Junior High School Students’ Learning in an Engineering Graphics Course,,Mengping Tsuei; Ri-Teng Lai,International journal of engineering education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
540,NO,,2,2013,Development and Evaluation of Engineering Drawing 1 eLearning Module of Malayan Colleges Laguna,,G. Loza; Apollo P. Portez,,No abstract and no LE signals in title/venue/authors.,semanticscholar
541,NO,,2,2015,Adding an International Senior Design Component into the Civil Curriculum,https://doi.org/10.18260/p.23495,Sina Arjmand,,No abstract and no LE signals in title/venue/authors.,semanticscholar
542,NO,,2,2018,Case Study of a Blind Student Learning Engineering Graphics,https://doi.org/10.18260/1-2--31929,S. Zemke,,No abstract and no LE signals in title/venue/authors.,semanticscholar
543,NO,,2,2015,PENGUASAAN KOMPETENSI BELAJAR PADA MATERI TEKNIK DAN STRATEGI PEMASARAN DENGAN PENDEKATAN SCIENTIFIC LEARNING,,Yumrohaini,,No abstract and no LE signals in title/venue/authors.,semanticscholar
544,NO,,2,2020,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS GENERIC GREEN SKILL IN PROJECT BASED LEARNING PADA MENGGAMBAR TEKNIK BERBANTUAN CAD,https://doi.org/10.24114/jtikp.v7i2.23247,Keysar Panjaitan; Abdul Hasan Saragih; Saut Purba,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
545,NO,,2,2006,"The Engineers In Technical, Humanitarian Opportunities Of Service Learning (Ethos) Program At The University Of Dayton As An Integrated Service Learning Program Model",https://doi.org/10.18260/1-2--1253,Charles Schreier; Carl Eger; M. Pinnell,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
546,NO,,2,2015,Research on Feature Extraction based on Deep Learning,https://doi.org/10.14257/ijhit.2015.8.11.09,Wu Pin; Hongjie Yan; Weilie Shang,,No abstract and no LE signals in title/venue/authors.,semanticscholar
547,NO,,2,2010,Work in progress — Application of Mastery Learning in an introductory mathematical physics course,https://doi.org/10.1109/fie.2010.5673573,W. J. Leonard; W. Gerace,Frontiers in Education Conference,Engineering-education venue (engineering-ed confusable).,semanticscholar
548,NO,,2,2025,"A COMPREHENSIVE REVIEW OF THE REPTILE SEARCH ALGORITHM: PRINCIPLES, APPLICATIONS, AND FUTURE DIRECTIONS",https://doi.org/10.17973/mmsj.2025_06_2025049,Kartik Pipalia; Nikunj Mashru; Pinank Patel,MM Science Journal,No LE-discipline signals found.,semanticscholar
549,NO,,2,2013,Engineering Education Research and Development at Queen’s University,https://doi.org/10.24908/pceea.v0i0.4902,David S. Strong; B. Frank,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
550,NO,,2,2017,Innovative Learning in Engineering Mathematics,https://doi.org/10.1109/weef.2017.8467063,N. Lohgheswary; Effandi Zakaria; Z. Nopiah,2017 7th World Engineering Education Forum (WEEF),Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
551,NO,,2,2016,YEAR TWO: ANALYSIS OF 3D TECHNOLOGY IMPACT ON STEM BASED COURSES; SPECIFICALLY INTRODUCTION TO ENGINEERING COURSES,https://doi.org/10.18260/1-2--29195,,,No abstract and no LE signals in title/venue/authors.,semanticscholar
552,NO,,2,2016,Impacts of Engineering Engagement Activities for First-Year Students,https://doi.org/10.18260/p.25550,Jacqueline Burgher Gartner; B. J. Wie; Kirk Reinkens,,No abstract and no LE signals in title/venue/authors.,semanticscholar
553,NO,,2,1936,Co-Operation for Competition,https://doi.org/10.1080/00221546.1936.11773606,Mary Bennett,,No abstract and no LE signals in title/venue/authors.,semanticscholar
554,NO,,2,2008,A Study of the Effectiveness of The Contextual Lab Activity in the Teaching and Learning Engineering Statistics at the Universiti Tun Hussein Onn Malaysia (UTHM),,Z. Amin; Nafisah Kamariah Md Kamaruddin,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
555,NO,,2,2008,Re Thinking The Relationship Between Engineering Design And Engineering Science Within An Inclusive Framework Of Professional Practice,https://doi.org/10.18260/1-2--4454,M. Friesen,,No abstract and no LE signals in title/venue/authors.,semanticscholar
556,NO,,2,2020,"How Do Student Perceptions of Engineers and Engineering as a Career Relate to their Self-Efficacy, Career Expectations, and Grittiness?",https://doi.org/10.18260/1-2--34729,Dr. Melissa Lynn Morris,,No abstract and no LE signals in title/venue/authors.,semanticscholar
557,NO,,2,2019,Exploring the Role of Students’ Achievement Goals and Learning Approaches in Academic Performance,https://doi.org/10.18260/1-2--32818,D. Banu,,No abstract and no LE signals in title/venue/authors.,semanticscholar
558,NO,,2,2024,"Beyond the Acronym: Interconnections of STEAM, the Humanities, and Digital Citizenship",https://doi.org/10.46328/ijonses.686,Christopher Dignam; Lisa K. Pennington; Assma Daifallah,International journal on social and education sciences,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
559,NO,,2,2009,A Study On The Changes Of Attitude Toward Stem Among Senior High School Girls In Taiwan,https://doi.org/10.18260/1-2--15623,Shi-Jer Lou; C. Díez; H. Hsiao,,No abstract and no LE signals in title/venue/authors.,semanticscholar
560,NO,,2,2010,AC 2010-1952: A NOVEL APPROACH TO PROFESSIONAL DEVELOPMENT,,Robert Reeves; J. Ross; B. County,,No abstract and no LE signals in title/venue/authors.,semanticscholar
561,NO,,2,2014,PENGARUH PENERAPAN TEKNIK ICE BREAKER TERHADAP HASIL BELAJAR PESERTA DIDIK KELAS III SEKOLAH DASAR,,F. Sumardani; B. Tampubolon; S. Utami,,No abstract and no LE signals in title/venue/authors.,semanticscholar
562,NO,,2,2008,AC 2008-906: ACADEMIC PATHWAYS STUDY: PROCESSES AND REALITIES,,M. Clark; S. Sheppard; C. Atman,,No abstract and no LE signals in title/venue/authors.,semanticscholar
563,NO,,2,2016,ANALYSIS OF THE IMPACT OF 3D TECHNOLOGY IN STEM-BASED COURSES: SPECIFICALLY INTRODUCTION TO ENGINEERING COURSES.,,Oscar Perez; Pedro Arturo Espinoza; Hugo Gomez,,No abstract and no LE signals in title/venue/authors.,semanticscholar
564,NO,,2,2007,AC 2007-154: PROJECT REJUVENATION: A TIME-TESTED 1ST YEAR MACHINE TOOL PROJECT,,Harvey Svec,,No abstract and no LE signals in title/venue/authors.,semanticscholar
565,NO,,2,2025,MLE-Smith: Scaling MLE Tasks with Automated Multi-Agent Pipeline,https://doi.org/10.48550/arxiv.2510.07307,Rushi Qiang; Yuchen Zhuang; Anikait Singh,arXiv.org,No LE-discipline signals found.,semanticscholar
566,NO,,2,2001,ICT and learning: engineering knowledge for the D generation,,S. Crump; G. Stanley,,No abstract and no LE signals in title/venue/authors.,semanticscholar
567,ADJACENT,,2,2018,Learning Engineering Practices Through Drones: Iterative design of an informal learning curriculum,,Srinjita Bhaduri; K. Horne; T. Sumner,International Conference of the Learning Sciences,Bhaduri et al. ICLS 2018 'Learning Engineering Practices Through Drones' — kids learning engineering-practices; LS-adjacent.,semanticscholar
568,NO,,2,2025,Emerging Trends of Virtual Laboratories in Vocational Education: A Bibliometric Analysis,https://doi.org/10.23887/jlls.v8i2.96277,Deris Oktageri; Sukardi; Usmeldi,Journal for Lesson and Learning Studies,Oktageri virtual-lab bibliometric in vocational education.,semanticscholar
569,NO,,2,2012,Learning from Leavers and Stayers: Survey Assessment Findings to Enhance Women’s Retention in Engineering,,Beverly Louie; D. Knight; Jordan Hornback,,No abstract and no LE signals in title/venue/authors.,semanticscholar
570,NO,,2,2025,GENERATING CURRICULA: A HUMAN-CENTRED PERSPECTIVE IN THE ERA OF ARTIFICIAL INTELLIGENCE,https://doi.org/10.33225/balticste/2025.180,T. Rüütmann; U. Läänemets,SCIENCE AND TECHNOLOGY EDUCATION: EXPECTATIONS AND EXPERIENCES,Rüütmann AI curriculum generation for engineering education — EngEd.,semanticscholar
571,NO,,2,2001,Empowering Cadets To Take Ownership Of Their Learning – Perspectives From The U.S. Air Force Academy,https://doi.org/10.18260/1-2--9177,Cary A. Fisher; G. Shoales,,No abstract and no LE signals in title/venue/authors.,semanticscholar
572,NO,,2,1994,Flow imaging and control laboratory,,N. Komerath,,No abstract and no LE signals in title/venue/authors.,semanticscholar
573,NO,,2,2012,A Study of the Effectiveness of the Contextual Lab Activity in the Teaching and Learning Statistics at the UTHM (Universiti Tun Hussein Onn Malaysia),,Nafisah Kamariah Md Kamaruddin; Norzilaila bt Jaafar; Z. Amin,,No abstract and no LE signals in title/venue/authors.,semanticscholar
574,NO,,2,2005,HUMAN AND TECHNOLOGICAL ISSUES IN THE E-LEARNING ENGINEERING PROCESS,,S. Mavromoustakos; K. Papanikolaou; A. Andreou,,No abstract and no LE signals in title/venue/authors.,semanticscholar
575,NO,,2,2006,The use of failure case studies to enhance students’ understanding of structural behavior and ethics,,A. Adekoya; J. Patel,,No abstract and no LE signals in title/venue/authors.,semanticscholar
576,NO,,1,1993,Learning Engineering: An Outline,,Tomasz Arciszewski,Computing in Civil and Building Engineering,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
577,NO,,1,2020,A Risk Analytic Approach To Learning Engineering Economy,https://doi.org/10.18260/1-2--6268,Pieter A. Voss; James M. Tien; Anil Kumar Goyal,,No LE-discipline signals found.,openalex|semanticscholar
578,YES,,1,2022,Should IEEE Establish Learning Engineering as a New Engineering Profession?,https://doi.org/10.1109/icalt55010.2022.00020,Jim Goodell; Michael Jay; Nkaepe Olaniyi,2022 International Conference on Advanced Learning Technologies (ICALT),Goodell/Jay/Olaniyi 'Should IEEE Establish Learning Engineering as a New Engineering Profession?'.,openalex|semanticscholar
579,YES,,1,2022,Designing and Implementing a Lightboard Learning Experience for Instructors Through the Learning Engineering Process,https://doi.org/10.31219/osf.io/y3cfb,Lauren Totino; Aaron M Kessler,,Totino & Kessler — MIT team 'followed the learning engineering process'.,openalex
580,NO,,1,2025,Investigating Academic Status Reports and Student Success through Learning Engineering,https://doi.org/10.59668/2109.21831,Megan N. Imundo; Maria Goldshtein; Micah Watanabe,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
581,NO,,1,2014,Bilingualism as a meaning-making resource for learning engineering,https://doi.org/10.1109/fie.2014.7044107,Alberto Esquinca; Erika Mein; Elsa Villa,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
582,NO,,1,2021,Scaffolds and Nudges: A Case Study in Learning Engineering Design Improvements,https://doi.org/10.1007/978-3-030-78270-2_78,Stephen E. Fancsali; Martina Pavelko; Josh Fisher,Lecture notes in computer science,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
583,YES,,1,2025,Learning Engineering in Practice: A Case Study on Developing LLM-Based Educational Tools,https://doi.org/10.1007/978-3-031-92970-0_10,Rachel Van Campenhout; David Soto-Karlin; Michelle Selinger,Lecture notes in computer science,Van Campenhout et al. 'Learning Engineering in Practice: LLM-Based Educational Tools'.,openalex|semanticscholar
584,YES,,1,2025,Macrocognition in Simulation Based Training: A Practical Application of Learning Engineering in a Complex Training Environment,https://doi.org/10.1007/978-3-031-92967-0_15,Jessica M. Johnson,Lecture notes in computer science,"LNCS; explicit ""practical application of Learning Engineering"" framing",openalex|semanticscholar
585,NO,,1,2014,Two consecutive Project-Based Learning engineering design courses - An analysis of portfolio assessment results,https://doi.org/10.1109/iedec.2014.6784672,Martin Jaeger; Desmond Adair,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
586,NO,,1,2009,Designing A Visualization Based Learning Approach For Learning Engineering Drawing,,Ming Foong Lee; Widad Othman,Knowledge based platform (Open University Malaysia),Lee & Othman VAL for engineering-drawing — EngEd intervention.,openalex|semanticscholar
587,NO,,1,2023,Exploring the Types of Instructional Practices Used in a Story-Driven Learning Engineering Classroom,https://doi.org/10.1109/fie58773.2023.10343382,Hye Yeon Lee; Joseph M. Le Doux,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
588,YES,,1,2025,Using a Nested Learning Engineering Methodology to Develop a Team Dynamic Measurement Framework for a Virtual Training Environment,https://doi.org/10.59668/2109.21735,Scotty D. Craig; Kamala Avancha; Priti Malhotra,,Craig et al. 'utilized an overarching Learning engineering process' for TC3 training.,openalex
589,NO,,1,2015,A Project-based Learning Engineering Course for a Summer Bridge Program,https://doi.org/10.18260/p.23433,Julie M. Hasenwinkel; Kathryn Pynn,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
590,YES,,1,2025,AI Principles in Practice with a Learning Engineering Framework,https://doi.org/10.5220/0013358600003932,Rachel Van Campenhout; Nick Brown; Benny G. Johnson,,Van Campenhout/Brown/Johnson 'using learning engineering as a framework' for responsible AI in EdTech.,openalex|semanticscholar
591,NO,,1,2003,Web Based Alternatives For Learning Engineering Science,,Jeff Goldberg; Kevin Lansey,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
592,NO,,1,2007,"On the relation between ontology learning, engineering, evolution and expressivity",,Philipp Cimiano,Dialnet (Universidad de la Rioja),No abstract and no LE signals in title/venue/authors.,openalex|semanticscholar
593,NO,,1,2020,Student Experiences in Service-Learning: Engineering vs. Sciences,https://doi.org/10.18260/1-2--22483,Ella Willard-Schmoe; John Duffy; Emmanuelle Reynaud,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
594,NO,,1,2011,LEARNING ENGINEERING DESIGN THROUGH MULTIMEDIA CASE STUDIES,https://doi.org/10.24908/pceea.v0i0.3593,David Effa; Steve Lambert; Oscar Nespoli,Proceedings of the Canadian Engineering Education Association (CEEA),Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
595,NO,,1,2023,"Work in Progress: Benefits of Learning Engineering Sciences to Transition from Face-to-Face to Virtual Learning of Engineering, Technology, and Computing due to COVID-19",https://doi.org/10.1109/edunine57531.2023.10102910,Geraldine Light; Jorge Sanitago-Aviles,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
596,ADJACENT,,1,2016,Didaktische und technologische Elemente des E-Learning-Engineering,,B. Sc. Valerie May,OPUS-PHLB (Ludwigsburg University),May 'ELE XT' e-learning engineering process model — adjacent European tradition.,openalex|semanticscholar
597,YES,,1,2022,EdTech for “Littles”: Using a Learning Engineering Approach to Create a Digital Math Readiness Program for 2- and 3-Year-Old Children,https://doi.org/10.1007/978-3-319-17727-4_192-1,Khanh-Phuong Thai; Sarah Buchan; Amanda Kates,,Duplicate of 484 — 'Using a Learning Engineering Approach'.,openalex
598,NO,,1,2006,E-Learning Engineering: Recommendations for Consumer-Driven Blended Learning,https://doi.org/10.1007/1-4020-8162-6_20,Roland Gabriel; Martin Gersch; Peter Weber,Kluwer Academic Publishers eBooks,No LE-discipline signals found.,openalex|semanticscholar
599,NO,,1,2002,The role of industry in forming a distance learning engineering management program,https://doi.org/10.1109/fie.1996.569966,E.R. Ladd; H.A. Rumsey,,Ladd distance-learning engineering-management program — EngMgmt education.,openalex|semanticscholar
600,NO,,1,2018,Exploring Approaches for Teaching and Learning Engineering Asset Management Courses,https://doi.org/10.1109/tale.2018.8615316,Khaled O El-Akruti; Tieling Zhang; Richard Dwight,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
601,NO,,1,2019,Enhancing experience of learning engineering mechanics with blended and experiential components,,Hing‐Ho Tsang; Hongjian Du; Nicholas Haritos,WEC2019: World Engineers Convention 2019,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
602,YES,,1,2023,"Correction to: AIED: From Cognitive Simulations to Learning Engineering, with Humans in the Middle",https://doi.org/10.1007/s40593-023-00369-8,Danielle S. McNamara,International Journal of Artificial Intelligence in Education,Correction to McNamara's canonical AIED-to-LE paper; same work.,openalex|semanticscholar
603,NO,,1,2015,The Application of Distance learning Engineering Mechanism in New Generation Migration Workers,https://doi.org/10.2991/etmhs-15.2015.31,Haifeng Tian; Zezhao Liu,"Advances in Social Science, Education and Humanities Research/Advances in social science, education and humanities research",No LE-discipline signals found.,openalex|semanticscholar
604,NO,,1,2023,Problem-Solving and Lifelong Learning: Engineering Students versus Retired Engineers with Dementia,https://doi.org/10.1109/edunine57531.2023.10102813,Otacílio Antunes Santana,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
605,NO,,1,2018,ABOUT FORMING A SPECIALIST’S PROFESSIONAL FOREIGN LANGUAGE LEXICON IN TEACHING/LEARNING ENGINEERING,https://doi.org/10.15593/2224-9389/2018.1.13,,PNRPU Linguistics and Pedagogy Bulletin,language learning for engineering majors,openalex
606,NO,,1,2012,Innovative Teaching: Using Video Demonstration for Classroom Teaching and Learning Engineering Surveying,,Goh Boon Hoe; Yeong Tuck Wai,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
607,ADJACENT,,1,2018,Learning Engineering Practices Through Drones: Iterative design of an informal learning curriculum.,,Srinjita Bhaduri; Katie Van Horne; Tamara Sumner,ICLS,Same as #566 — informal drone curriculum; LS-adjacent.,openalex
608,NO,,1,2024,A Novel Approach to Project-Based Learning: Engineering Students' Experience of Strip and Assemble Project,https://doi.org/10.1109/iceed62316.2024.10923763,Eveth Nkeiruka Nwobodo-Anyadiegwu; Cristina Anghel; Samuel Loyiso Gqibani,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
609,NO,,1,2014,"Incorporating AgrAbility Projects Into the University of Dayton First-Year, Service-Learning Engineering Design Course",https://doi.org/10.13031/aim.20141914077,Kenya Crosson; S. Dee Jepsen; Kent McGuire,2014 ASABE Annual International Meeting,Engineering-education confusable phrasing; no LE venue/figure.,openalex
610,NO,,1,2016,Learning engineering drawing and design through the study of machinery and tools from Malaga’s industrial heritage,https://doi.org/10.1007/978-3-319-45781-9_94,M. Carmen Ladrón-de-Guevara-Muñoz; Francisco Montes Tubío; Elidia Beatriz Blázquez Parra,Lecture notes in mechanical engineering,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
611,NO,,1,2020,More To Say: Analyzing Open Ended Student Responses To The Academic Pathways Of People Learning Engineering Survey,https://doi.org/10.18260/1-2--5188,Micah Lande; Sarah Parikh; Sheri Sheppard,,Lande APPLES open-ended analysis — 'Academic Pathways of People Learning Engineering'; pipeline.,openalex|semanticscholar
612,NO,,1,2018,Freshmen and Flash Mobs: The Development and Assessment of a Service-Learning Engineering Design Course Using Expectancy-Value Theory.,,Mandy McLean; Jasmine Kyle McBeath; Tyler Susko,AERA Online Paper Repository,Engineering-education confusable phrasing; no LE venue/figure.,openalex
613,NO,,1,2024,The Analysis Factors Influencing the Implementation of Digital Social Entrepreneurship Application in Learning Engineering Education Using Structural Equation Modelling,https://doi.org/10.62527/joiv.8.3.2236,- Ganefri; Norazah Nordin; Asmar Yulastri,JOIV International Journal on Informatics Visualization,Ganefri digital entrepreneurship in 'learning engineering education' — EngEd.,openalex|semanticscholar
614,NO,,1,2016,"Preparing future graduates to become lifelong, expert learners: Lessons and considerations from a blended learning engineering mathematics unit",,Iwona Czaplinski; Dann Mallet,QUT ePrints (Queensland University of Technology),Engineering-education confusable phrasing; no LE venue/figure.,openalex
615,NO,,1,2020,How to Approach Learning: Engineering Students’ Perceptions of Project-based and Problem-based Learning at an International Branch Campus in the Middle East,https://doi.org/10.18260/1-2--32900,Alaa Abdalla; Rinith Reghunath; Midhat Zaidi,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
616,NO,,1,2018,Application of Learning Engineering Techniques Thinking Aloud Pair Problem Solving in Learning Mathematics Students Class VII SMPN 15 Padang,https://doi.org/10.1088/1757-899x/335/1/012126,Sunarti Yola Sri Widuri; Lutfian Almash; Fazri Zuzano,IOP Conference Series Materials Science and Engineering,"Widuri TAPPS technique for math — 'learning engineering techniques' loose; EngEd-adjacent, not LE.",openalex|semanticscholar
